post_id,platform_id,kw_id,platform_name,keyword,title,content_text,view_count,comment_count,posted_date,region,like_count,price
229804383,3,3,중고나라,1회,1회 착용 mahrcato 선글라스 아이보리 19>6만원,"25.7월 구매
여행때 1회 착용 후 보관
중고가 착하게 판매합니다
중고제품 미세기스 스크래치 있을 수 있음
반품 불가
정가 198,000원
공구가158,000->65,000원 판매(택배비포함)",14,0,2026-06-19,,0,60000
229816537,3,3,중고나라,1회,꺌랑 말랑이(240.1회착용),"-착화감으로 유명한 꺌랑 플랫입니다!
-1회착용
-브라운컬러
사진 보시면 아시겠지만 상태 새거에요!
브라운컬러로 다른거 선물받아서 팔아요~

※모든사진은 기본카메라로찍어요
 확대해서 확인해주세요

※판매자.구매자 모두 에티켓을지켜야 하는 공간입니다?? 정중히 대해드리는 만큼 같이 지켜주세요:)


직거래: 평일:학익동 주말:인천역 앞
택백:gs/cu편의점(반값택배ㅇ배송비별도) 
*교환, 환불 ×",1,0,2026-06-19,,0,28000
229816116,3,3,중고나라,1회,수능 시대인재 서바이벌 모의고사 온라인 2회 화학1,"시대인재 수능 화학의 시대인재 서바이벌 모의고사 온라인 2회 과학탐구영역 화학1 교재입니다.

강의교재 및 학습용 교재로 사용하실 분은 수강하시려는 강의 교재 여부, 교재번호, ISBN 등을 통해 상품에 대한 정보를 정확히 확인하신 후 구매바랍니다.

혹시 판매자 상점에 없는 다른 교재나 도서 구매를 희망하신다면, 언제든지 문의주시면 구매 가능 여부와 비용을 확인해드리겠습니다.

[출판사 서평]
- 수능 화학 실전 모의고사
- 만점으로 가는 지름길 콘텐츠
- 시대인재학원 서바이벌 모의고사
- 비교불가 최상의 서바이벌 수능 모의고사
- 서울대 의예과 강남3구 합격생 27명 중 23명 (시대인재학원 현강생 기준)
- 수능 전과목 만점자 9명 중 5명 배출 (시대인재학원 현강생 기준)

[판매정보]
- 상태: 필기 없음
- 판매가: 표시가격 참고
- 배송비: 착불 (묶음배송 가능)
- 선불배송: 3,800원 (도서지역 700원 추가)
- 무료배송: 판매자 물품 4만원 이상 묶음구매시 무료배송

[주의사항]
- 착불배송: 주소지, 무게 등에 따라 택배비 변동이 발생합니다. 정확한 배송비는 택배를 접수해야만 알 수 있는데 경험상 4.5천원 전후 정도 나올 것 같습니다.
- 묶음배송: 택배발송 전 같은 주소로 여러 상품을 결제했을 경우 자동으로 묶음배송으로 처리해드립니다.
- 안전거래: 안전거래 시스템상 배송비 결제 기능이 지원되지 않을 경우 배송비는 착불로 부과됩니다.

[물품정보]
- 도서: 시대인재 서바이벌 모의고사 온라인 2회 과학탐구영역 화학 I
- 출판: 시대인재학원
- 집필: 시대인재입시평가연구소
- 분류: 대학수학능력시험 화학영역
- ISBN/코드: -
- 정가: 33,000원

오래된 구형 스마트폰이라서 카메라에 이상이 있어 사진 일부분에 간헐적으로 살짝 멍 같은 부분이나 작은 검은 점 같은 노이즈가 표시될 수도 있습니다. 너그러이 양해해주시면 감사하겠습니다.

아울러, 시중 출판 도서를 할인 발주할 권한이 매주 들어오는데, 제가 필요한 책을 사고도 남아",0,0,2026-06-19,,0,4800
229559421,3,3,중고나라,1회,2026 현우진 킬캠 시즌1 6회,"2026 현우진 킬캠 시즌1 6회입니다.

총 6회분중 6회 1회분이구요.

필요하신분 연락주세요 ~",16,0,2026-06-19,,0,10000
229814900,3,3,중고나라,1회,[1회착용] 타미힐피거 베이지 오픈토 웨지힐 235mm,"딱 한번 신어서 상태 최상입니다
US6.5사이즈 = 235
정품이고 굽 약 7cm입니다
베이지색이라 다리 길어보여요
GS반값택배 이용 시 +2500원",3,0,2026-06-19,,0,46000
229583803,3,3,중고나라,1회,1.2회 무도런 굿즈 무한도전 굿즈 메달 무도 굿즈 무한도전 마라톤 굿즈#맘스터치,"무한도전 무도런 2025/2026 굿즈 모음 입니다

소장용.수집용으로 좋아요~

●2026 무도런
티셔츠+바지+양말+헤어밴드2종+짐색2종+메달

티셔츠.검정 헤어밴드.검정 짐색만 사용했습니다!

티셔츠.바지 사이즈:XL

●2025 무도런
티셔츠+바지+양말+헤어밴드+짐색+메달

티셔츠+바지 사용후 세탁해서 지퍼백 보관했습니다

티셔츠.바지 사이즈:2XL

메달은 2개 모두 목에 걸지도 않은 새 매달입니다

사진에 있는거 전부다 합쳐서 (택포)4만원에 판매합니다!!",46,0,2026-06-19,,0,40000
228943099,3,3,중고나라,1회,[부산]레고 75978(다이애건앨리) 1회 조립품 판매합니다 :),"레고 75978(다이애건앨리) 1회 조립품 판매합니다 :)
(앞쪽에 있는 호그와트 급행 열차 및 플랫폼은 제외입니다)

설명서, 박스(접어서 보관) 모두 있습니다

부피가 커서 부산 용호동 직거래 또는 외출길, 퇴근길 동선 어느 정도 맞으면 실어 드릴 수도 있습니다~",213,1,2026-06-19,,3,260000
229813291,3,3,중고나라,1회,GMK 신세기 base 키캡 1회체결 노타건,"판매중이면 안전결제 하시면 됩니다.
전시용 1회체결 노타건",6,0,2026-06-19,,0,200000
229564677,3,3,중고나라,1회,청소연구소 1회 예약서비스 3천원 할인쿠폰,"1장 있습니다.

유효기한: 2026.6.30

이용방법 및 유의사항 사진 꼭 확인해주세요~",22,1,2026-06-19,,1,500
229518586,3,3,중고나라,1회,산드로 원피스(1회착용),"36사이즈 (44~66)
가슴단면 약 45~6
총장 약 120
실측 사이즈 확인후 구매하세요 
현재 아이디룩몰에서 판매중인 상품 입니다 
1회착용으로 깨끗합니다 
이렇게 보면 복고풍 원피스 같고 또 이렇게 보면 완전 고급스러워 보이고 오묘한 원피스 입니다
실크같은 부드러운 원단이 하늘하늘 ~촤르르~부들부들
단추도 큐빅 단추로 블링 합니다
여분 단추 있습니다. 
봄엔 단독으로 가을엔 자켓 걸치고 겨울엔 코트안에 입으면 될듯한 실욧적인 아이인듯 합니다 
폭염빼고 여름에 실내 활동이 많은 사람은 여름도 가능 할것 같아요
중고이니 예민하신 분은 패스해주세요
환불 반품 안됩니다 
이것저것 따지시는분은 백화점으로 고고하십쇼 
네고문의 답장 안합니다 
없는 상품이 있으니 메세지 먼저 주세요",46,0,2026-06-19,,0,130000
